Tau,SF,+-
1711.95,3.47723e-22,2.04367e-23
1714.64,3.68786e-22,2.20438e-23
1717.34,3.69443e-22,2.23084e-23
1720.04,3.76149e-22,2.30877e-23
1722.73,3.97361e-22,2.46276e-23
1725.43,3.81258e-22,2.3219e-23
1728.12,3.80213e-22,2.32279e-23
1730.82,3.58221e-22,2.21927e-23
1733.52,3.63022e-22,2.38345e-23
1736.21,3.52929e-22,2.13176e-23
1738.91,3.36829e-22,2.2515e-23
1741.6,3.47948e-22,2.4498e-23
1744.3,3.32158e-22,1.85489e-23
1747,3.83778e-22,2.53919e-23
1749.69,3.77989e-22,2.52563e-23
1752.39,4.02014e-22,2.57367e-23
1755.08,3.51309e-22,2.19576e-23
1757.78,3.70342e-22,2.45856e-23
1760.48,3.5117e-22,2.16863e-23
1763.17,3.63019e-22,2.2926e-23
1765.87,3.67135e-22,2.4996e-23
1768.56,3.53307e-22,2.24938e-23
1771.26,3.38025e-22,1.99024e-23
1773.96,3.55963e-22,2.26609e-23
1776.65,3.48685e-22,2.17414e-23
1779.35,3.27759e-22,1.97272e-23
1782.04,3.63563e-22,2.3399e-23
1784.74,3.44443e-22,1.99295e-23
1787.44,3.19465e-22,1.97982e-23
1790.13,3.53237e-22,2.46038e-23
1792.83,3.15775e-22,1.84804e-23
1795.52,3.3243e-22,2.16313e-23
1798.22,3.34193e-22,2.16306e-23
1800.92,3.44127e-22,2.11838e-23
1803.61,3.4788e-22,2.08078e-23
1806.31,3.46158e-22,2.11594e-23
1809,3.78639e-22,2.18304e-23
1811.7,3.54576e-22,1.95147e-23
1814.4,3.517e-22,2.06062e-23
1817.09,3.77766e-22,2.2475e-23
1819.79,3.45083e-22,1.97276e-23
1822.48,3.48457e-22,2.24012e-23
1825.18,3.26662e-22,1.83652e-23
1827.88,3.26136e-22,1.95003e-23
1830.57,3.20386e-22,2.14677e-23
1833.27,3.46527e-22,2.1197e-23
